ID,output
ID_10877,뷰가 일단 너무 좋고 이뻐요. 직원분들이 친절하시고 하루 잘 보내고 갑니다.
ID_02074,음식은 부산 5성급 중 최고입니다. 주차는 진입로가 좁습니다. 방은 리모델링해서 그런지 작은 듯합니다. 엘리베이터 대수가 적어 혼잡합니다. 뷰는 씨티뷰 쪽이 차 구경하기 좋습니다. 수영장은 못 가봤습니다. 기타로 건물 내에 편의점과 스타벅스가 있어 좋습니다.
ID_00341,방은 좀 작지만 신축이라 깔끔합니다. 29층인데 뷰가 좀 시원한 느낌은 없습니다. 아이들 방 21층 트윈룸은 뷰가 더 답답합니다. 21층인데 비스듬히 바다 보입니다. 주차비 받는 것은 좀 이해가 안 됩니다. 해운대 가깝고 야간에도 거리가 북적여 그거 하나는 맘에 듭니다. 바로 옆 야시장입니다. ^&* 아침은 아주 좋습니다. 해 뜨는 거 볼 수 있습니다. 이거 때문에 별 4개입니다. ^^
ID_08041,새 건물에 시설이 모두 잘 갖춰진 숙소입니다. 가족과 친구 모두 적합합니다.**
ID_01622,주니어 스위트에서 머물다 가요~ 원래 달맞이 고개에서 뻐꾹 나오는 일출이 보고 싶었는데 날씨가 흐려 보지는 못했어요 ㅎ 그래도 오션뷰는 장관이에요 럭셔리한 LCT답게 모든 기구가 깨끗하고.. 럭셔리해서 좋았어요. 다음에 또 올게요!
ID_07141,"높은 곳에 호텔이 있어서 주차장으로 갈 때는 무서웠다. 옥상에 수영장도 있고, 조식 서비스는 전날 저녁 10시 전까지 신청 가능했고, 방에는 전기 인덕션이 있는데 조리 도구들은 하나도 없어서 챙겨와야 할 듯... 종이컵만 있다."
ID_05796,객실은 괜찮으나 엘리베이터가 단 두 대밖에 없어 입퇴실 시간대에 시간 소요가 그 어떤 숙박업소보다 오래 걸려 매우 불편함.
ID_07184,"방 안에 에어드레서도 고장 나 있고, 2층에 커피 머신도 고장 나 있으며, 주차 자리는 부족하고 처음부터 이중 주차 안내도 안 해 주셔서 힘들게 지하 주차장 빠져나오고 하.. 30만원 주고 1박인데 이건 좀 아닌 것 같아요."
ID_08232,"5만 원대 가격대, 욕실에 물때와 곰팡이(세면대 쪽) 있지만 나쁘지 않은 욕실 컨디션(비데 + 쓸만한 욕조) 그냥저냥 침실 컨디션이지만 이것 또한 썼을 때 불편하지 않았고 침구류도 나쁘지 않았음. 참 묘한 경계에 있는 모텔이에요 ㅋㅋ 그래도 근처 몇 군데보단 편하게 잤어요."
ID_05475,"매너도 좋고, 방도 좋고, 가격도 좋아요. 굿굿! 굳이 단점을 뽑자면 창문이 좀 작네요."
ID_10425,"지인이 부산에 놀러 와서 잡아주셨는데, 너무 좋다고 합니다."
ID_00074,"영월에 숙소 선택지가 많지 않아 고민했는데, 시설이 깨끗하고 동강 뷰도 좋습니다. 다음에도 여기로 예약할 것 같아요."
ID_11142,아이파크란 이름 하나로 유지되는 것 같은데... 그냥 한마디로 동네 모텔 수준의 콘도라고 생각하면 될 듯합니다. 가장 황당했던 건 주차 시설이 턱없이 모자라서 몇 바퀴 뺑뺑 돌다가 결국엔 지하층에 2중 주차로 세웠네요.
ID_08633,자주 이용하는 장소입니다. 편의시설 양호하고 제공되는 식사가 제일 만족합니다.
